YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2023,3,3,4,AA,1000,TAIL000,ATL,SFO,1825,1825.0,67.0,24.0,1835.0,92,226.0,158.0,1441,1992.0,17.0,1992,1992.0,67.0,0,0,,3.0,1.0,87.0,60.0,7.0
2023,5,28,3,UA,1001,TAIL001,LAX,ATL,103,103.0,10.0,14.0,113.0,119,100.0,88.0,2531,247.0,15.0,247,247.0,10.0,0,0,,49.0,12.0,12.0,63.0,31.0
2023,1,4,2,UA,1002,TAIL002,JFK,ORD,1663,1663.0,136.0,21.0,1673.0,161,159.0,168.0,286,1751.0,6.0,1751,1751.0,136.0,0,0,,24.0,18.0,26.0,40.0,31.0
2023,2,3,6,UA,1003,TAIL003,SFO,SFO,958,958.0,142.0,16.0,968.0,149,140.0,183.0,1964,1075.0,8.0,1075,,,0,0,,7.0,15.0,87.0,63.0,17.0
2023,9,9,6,AA,1004,TAIL004,ORD,ORD,227,227.0,160.0,9.0,237.0,115,172.0,173.0,436,350.0,5.0,350,350.0,160.0,0,0,,29.0,15.0,,13.0,24.0
2023,12,2,1,UA,1005,TAIL005,LAX,ORD,695,695.0,,18.0,705.0,145,158.0,153.0,996,729.0,2.0,729,729.0,10.0,0,0,,39.0,13.0,65.0,58.0,24.0
2023,1,9,6,WN,1006,TAIL006,ORD,ATL,2300,2300.0,,20.0,2310.0,152,,155.0,325,2378.0,,2378,2378.0,27.0,0,0,,13.0,17.0,1.0,61.0,35.0
2023,4,1,1,AA,1007,TAIL007,JFK,ATL,1737,1737.0,55.0,22.0,1747.0,217,239.0,,2376,1923.0,18.0,1923,1923.0,55.0,0,0,,0.0,5.0,45.0,33.0,7.0
2023,7,26,1,AA,1008,TAIL008,LAX,ATL,1687,1687.0,127.0,,1697.0,114,,167.0,1754,1734.0,15.0,1734,1734.0,,0,0,,8.0,,38.0,37.0,26.0
2023,10,22,5,AA,1009,TAIL009,ATL,ATL,679,679.0,30.0,28.0,689.0,136,109.0,141.0,952,883.0,6.0,883,883.0,30.0,0,0,,21.0,2.0,83.0,,5.0
